id,userplace_id,begin_time,end_time,client_id,provenance,complete,type,name,primary category id,category name
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-51241c18e4b0c18b264d65a8,25771904-f962-421a-8842-485e1c7d3e7a,2013-02-20 00:43:04+00,2013-02-20 00:43:04+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,A.R.O.,366,Tech Startup
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5130bd2ee4b041d1c3d9bd9e,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-03-01 14:37:34+00,2013-03-01 14:37:34+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-51355888e4b080cc12a8aadf,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-03-05 02:29:28+00,2013-03-05 02:29:28+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-513e90c8e4b03f32bdcb6bd5,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-03-12 02:19:52+00,2013-03-12 02:19:52+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5144ba15e4b0da66da70a836,2c6b0dac-75de-40ec-b44f-97188967ebb5,2013-03-16 18:29:41+00,2013-03-16 18:29:41+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Sugar On Top,275,Salon or Barbershop
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5145260ce4b06896887c11e7,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-03-17 02:10:20+00,2013-03-17 02:10:20+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5151af2ce4b024887f9589e4,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-03-26 14:22:36+00,2013-03-26 14:22:36+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5165cd8be4b0b31361acf837,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-10 20:37:31+00,2013-04-10 20:37:31+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,A.R.O.,366,Tech Startup
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-51673b69e4b0bde59dfe162c,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-11 22:38:33+00,2013-04-11 22:38:33+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,A.R.O.,366,Tech Startup
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5167721ae4b0164b26d7ea55,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-12 02:31:54+00,2013-04-12 02:31:54+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex
