id,userplace_id,begin_time,end_time,client_id,provenance,complete,type,name,primary category id,category name,begin_time_PST,
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-51241c18e4b0c18b264d65a8,25771904-f962-421a-8842-485e1c7d3e7a,2/20/13 12:43 AM,2013-02-20 00:43:04+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,A.R.O.,366,Tech Startup,2/19/13 5:43 PM,2/20/13 7:43 AM
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5130bd2ee4b041d1c3d9bd9e,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-03-01 14:37:34+00,2013-03-01 14:37:34+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex,#VALUE!,#VALUE!
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-51355888e4b080cc12a8aadf,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-03-05 02:29:28+00,2013-03-05 02:29:28+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex,#VALUE!,#VALUE!
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-513e90c8e4b03f32bdcb6bd5,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-03-12 02:19:52+00,2013-03-12 02:19:52+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex,#VALUE!,#VALUE!
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5144ba15e4b0da66da70a836,2c6b0dac-75de-40ec-b44f-97188967ebb5,2013-03-16 18:29:41+00,2013-03-16 18:29:41+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Sugar On Top,275,Salon or Barbershop,#VALUE!,#VALUE!
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5145260ce4b06896887c11e7,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-03-17 02:10:20+00,2013-03-17 02:10:20+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex,#VALUE!,#VALUE!
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5151af2ce4b024887f9589e4,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-03-26 14:22:36+00,2013-03-26 14:22:36+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex,#VALUE!,#VALUE!
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5165cd8be4b0b31361acf837,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-10 20:37:31+00,2013-04-10 20:37:31+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,A.R.O.,366,Tech Startup,#VALUE!,#VALUE!
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-51673b69e4b0bde59dfe162c,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-11 22:38:33+00,2013-04-11 22:38:33+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,A.R.O.,366,Tech Startup,#VALUE!,#VALUE!
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5167721ae4b0164b26d7ea55,115f4862-f3cc-40f8-bbec-a8797c541b55,4/12/13 2:31 AM,2013-04-12 02:31:54+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,Robot Rookery,165,Residential Complex,4/11/13 7:31 PM,4/12/13 9:31 AM
3495e605-4d05-4f5d-a1e1-d5d523c201ab,25771904-f962-421a-8842-485e1c7d3e7a,4/12/13 6:23 PM,2013-04-12 18:23:55.857+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,A.R.O.,366,Tech Startup,4/12/13 11:23 AM,4/13/13 1:23 AM
b86eec3b-8df3-4edc-8bdb-ff7628c77ea0,,4/12/13 6:28 PM,2013-04-12 18:53:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,private,,,,4/12/13 11:28 AM,4/13/13 1:28 AM
f1f83b1c-a932-425b-b8ce-a12cb6006b0c,,4/12/13 6:53 PM,2013-04-12 19:15:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,travel,,,,4/12/13 11:53 AM,4/13/13 1:53 AM
a4cc7efa-7554-4496-b10d-f7f8fc87885b,25771904-f962-421a-8842-485e1c7d3e7a,4/12/13 6:53 PM,2013-04-12 18:53:18.782+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,A.R.O.,366,Tech Startup,4/12/13 11:53 AM,4/13/13 1:53 AM
20a76499-349b-4ed7-a0d0-861a8f0a53a4,25771904-f962-421a-8842-485e1c7d3e7a,4/12/13 7:15 PM,2013-04-13 00:17:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,A.R.O.,366,Tech Startup,4/12/13 12:15 PM,4/13/13 2:15 AM
902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141-foursquare-5168a145e4b0a1627ecd6bb7,25771904-f962-421a-8842-485e1c7d3e7a,4/13/13 12:05 AM,2013-04-13 00:05:25+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,foursquare,t,checkin,A.R.O.,366,Tech Startup,4/12/13 5:05 PM,4/13/13 7:05 AM
35b34a5a-00e9-45df-9f87-de394bab58d0,,4/13/13 12:17 AM,2013-04-13 00:40:42.399+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,UserEdit,t,travel,,,,4/12/13 5:17 PM,4/13/13 7:17 AM
153a71a1-83bd-4b89-9ff7-61bd4e52d761,309dada9-544d-4272-b6e1-4559c7b0f66e,4/13/13 12:40 AM,2013-04-13 00:51:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Green Lake School Age Childcare,180,School,4/12/13 5:40 PM,4/13/13 7:40 AM
1d288342-5624-4339-bbff-13e5acf66f33,309dada9-544d-4272-b6e1-4559c7b0f66e,4/13/13 12:40 AM,2013-04-13 00:40:44.167+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Green Lake School Age Childcare,180,School,4/12/13 5:40 PM,4/13/13 7:40 AM
